,Time,Country,Series,Pay period,Value
0,2001,Ireland,In 2021 constant prices at 2021 USD PPPs,Annual,15713.18
1,2002,Ireland,In 2021 constant prices at 2021 USD PPPs,Annual,15773.65
2,2003,Ireland,In 2021 constant prices at 2021 USD PPPs,Annual,15944.71
3,2004,Ireland,In 2021 constant prices at 2021 USD PPPs,Annual,17075.7
4,2005,Ireland,In 2021 constant prices at 2021 USD PPPs,Annual,17822.01
5,2006,Ireland,In 2021 constant prices at 2021 USD PPPs,Annual,17655.56
6,2007,Ireland,In 2021 constant prices at 2021 USD PPPs,Annual,18657.45
7,2008,Ireland,In 2021 constant prices at 2021 USD PPPs,Annual,18288.89
8,2009,Ireland,In 2021 constant prices at 2021 USD PPPs,Annual,19146.28
9,2010,Ireland,In 2021 constant prices at 2021 USD PPPs,Annual,19324.47
10,2011,Ireland,In 2021 constant prices at 2021 USD PPPs,Annual,18842.63
11,2012,Ireland,In 2021 constant prices at 2021 USD PPPs,Annual,18528.35
12,2013,Ireland,In 2021 constant prices at 2021 USD PPPs,Annual,18434.57
13,2014,Ireland,In 2021 constant prices at 2021 USD PPPs,Annual,18400.98
14,2015,Ireland,In 2021 constant prices at 2021 USD PPPs,Annual,18454.48
15,2016,Ireland,In 2021 constant prices at 2021 USD PPPs,Annual,19519.59
16,2017,Ireland,In 2021 constant prices at 2021 USD PPPs,Annual,19665.95
17,2018,Ireland,In 2021 constant prices at 2021 USD PPPs,Annual,20205.09
18,2019,Ireland,In 2021 constant prices at 2021 USD PPPs,Annual,20541.13
19,2020,Ireland,In 2021 constant prices at 2021 USD PPPs,Annual,21241.01
20,2021,Ireland,In 2021 constant prices at 2021 USD PPPs,Annual,20957.12
21,2001,Spain,In 2021 constant prices at 2021 USD exchange rates,Annual,10405.11
22,2002,Spain,In 2021 constant prices at 2021 USD exchange rates,Annual,10299.45
23,2003,Spain,In 2021 constant prices at 2021 USD exchange rates,Annual,10199.13
24,2004,Spain,In 2021 constant prices at 2021 USD exchange rates,Annual,10102.31
25,2005,Spain,In 2021 constant prices at 2021 USD exchange rates,Annual,10651.7
26,2006,Spain,In 2021 constant prices at 2021 USD exchange rates,Annual,11089.53
27,2007,Spain,In 2021 constant prices at 2021 USD exchange rates,Annual,11381.26
28,2008,Spain,In 2021 constant prices at 2021 USD exchange rates,Annual,11499.05
29,2009,Spain,In 2021 constant prices at 2021 USD exchange rates,Annual,11993.53
30,2010,Spain,In 2021 constant prices at 2021 USD exchange rates,Annual,11957.07
31,2011,Spain,In 2021 constant prices at 2021 USD exchange rates,Annual,11734.94
32,2012,Spain,In 2021 constant prices at 2021 USD exchange rates,Annual,11454.75
33,2013,Spain,In 2021 constant prices at 2021 USD exchange rates,Annual,11364.32
34,2014,Spain,In 2021 constant prices at 2021 USD exchange rates,Annual,11381.52
35,2015,Spain,In 2021 constant prices at 2021 USD exchange rates,Annual,11497.25
